Time (s),Voltage (V)
0.000000,2.7520
0.000025,2.7778
0.000050,2.8237
0.000075,2.8761
0.000100,2.9599
0.000125,3.0341
0.000150,3.0953
0.000175,3.1485
0.000200,3.1896
0.000225,3.2178
0.000250,3.2371
0.000275,3.2460
0.000300,3.2468
0.000325,3.2371
0.000350,3.2170
0.000375,3.1832
0.000400,3.1412
0.000425,3.0905
0.000450,3.0325
0.000475,2.9607
0.000500,2.8793
0.000525,2.7923
0.000550,2.7004
0.000575,2.6142
0.000600,2.5103
0.000625,2.4063
0.000650,2.3007
0.000675,2.1903
0.000700,2.0968
0.000725,1.9953
0.000750,1.8946
0.000775,1.7842
0.000800,1.6762
0.000825,1.5755
0.000850,1.4691
0.000875,1.3587
0.000900,1.2394
0.000925,1.1056
0.000950,0.9598
0.000975,0.8212
0.001000,0.6834
0.001025,0.5577
0.001050,0.4505
0.001075,0.3578
0.001100,0.2748
0.001125,0.2023
0.001150,0.1418
0.001175,0.0927
0.001200,0.0572
0.001225,0.0338
0.001250,0.0210
0.001275,0.0169
0.001300,0.0218
0.001325,0.0395
0.001350,0.0701
0.001375,0.1136
0.001400,0.1676
0.001425,0.2321
0.001450,0.3095
0.001475,0.3989
0.001500,0.5061
0.001525,0.6229
0.001550,0.7478
0.001575,0.8760
0.001600,1.0009
0.001625,1.1137
0.001650,1.2185
0.001675,1.2982
0.001700,1.3764
0.001725,1.4651
0.001750,1.5577
0.001775,1.6705
0.001800,1.7697
0.001825,1.8688
0.001850,1.9736
0.001875,2.0799
0.001900,2.1992
0.001925,2.3120
0.001950,2.4168
0.001975,2.5175
0.002000,2.6150
0.002025,2.7085
0.002050,2.7996
0.002075,2.8842
0.002100,2.9607
0.002125,3.0333
0.002150,3.0945
0.002175,3.1461
0.002200,3.1896
0.002225,3.2178
0.002250,3.2363
0.002275,3.2460
0.002300,3.2452
0.002325,3.2371
0.002350,3.2170
0.002375,3.1840
0.002400,3.1412
0.002425,3.0873
0.002450,3.0276
0.002475,2.9559
0.002500,2.8785
0.002525,2.7963
0.002550,2.7093
0.002575,2.6158
0.002600,2.5135
0.002625,2.4079
0.002650,2.3032
0.002675,2.2016
0.002700,2.0952
0.002725,1.9848
0.002750,1.8728
0.002775,1.7640
0.002800,1.6722
0.002825,1.5851
0.002850,1.4836
0.002875,1.3764
0.002900,1.2467
0.002925,1.1056
0.002950,0.9614
0.002975,0.8123
0.003000,0.6818
0.003025,0.5593
0.003050,0.4553
0.003075,0.3651
0.003100,0.2772
0.003125,0.2031
0.003150,0.1410
0.003175,0.0911
0.003200,0.0572
0.003225,0.0338
0.003250,0.0210
0.003275,0.0169
0.003300,0.0218
0.003325,0.0403
0.003350,0.0709
0.003375,0.1136
0.003400,0.1668
0.003425,0.2297
0.003450,0.3046
0.003475,0.3997
0.003500,0.5053
0.003525,0.6221
0.003550,0.7462
0.003575,0.8744
0.003600,0.9872
0.003625,1.0911
0.003650,1.1870
0.003675,1.2692
0.003700,1.3684
0.003725,1.4731
0.003750,1.5819
0.003775,1.6786
0.003800,1.7753
0.003825,1.8712
0.003850,1.9719
0.003875,2.0920
0.003900,2.2000
0.003925,2.3056
0.003950,2.4047
0.003975,2.5038
0.004000,2.6118
0.004025,2.7117
0.004050,2.8076
0.004075,2.8882
0.004100,2.9623
0.004125,3.0333
0.004150,3.0921
0.004175,3.1485
0.004200,3.1896
0.004225,3.2170
0.004250,3.2371
0.004275,3.2444
0.004300,3.2460
0.004325,3.2379
0.004350,3.2170
0.004375,3.1840
0.004400,3.1396
0.004425,3.0881
0.004450,3.0292
0.004475,2.9599
0.004500,2.8793
0.004525,2.7899
0.004550,2.6988
0.004575,2.6070
0.004600,2.5119
0.004625,2.4160
0.004650,2.3177
0.004675,2.2056
0.004700,2.1001
0.004725,1.9873
0.004750,1.8752
0.004775,1.7801
0.004800,1.6714
0.004825,1.5722
0.004850,1.4699
0.004875,1.3538
0.004900,1.2314
0.004925,1.0968
0.004950,0.9477
0.004975,0.8067
0.005000,0.6785
0.005025,0.5593
0.005050,0.4569
0.005075,0.3602
0.005100,0.2756
0.005125,0.2031
0.005150,0.1410
0.005175,0.0935
0.005200,0.0580
0.005225,0.0338
0.005250,0.0201
0.005275,0.0161
0.005300,0.0210
0.005325,0.0387
0.005350,0.0701
0.005375,0.1120
0.005400,0.1676
0.005425,0.2329
0.005450,0.3111
0.005475,0.4045
0.005500,0.5053
0.005525,0.6165
0.005550,0.7341
0.005575,0.8518
0.005600,0.9743
0.005625,1.0855
0.005650,1.1886
0.005675,1.2894
0.005700,1.3700
0.005725,1.4618
0.005750,1.5593
0.005775,1.6536
0.005800,1.7681
0.005825,1.8777
